LWS,SLC,88.0,314.0,1174.0
MCI,STL,56.0,143.0,2387.0
MCO,MIA,65.0,167.0,6024.0
MCO,ORH,166.0,624.0,634.0
MDW,SDF,66.0,165.0,2259.0
MEI,PIB,33.0,101.0,889.0
MFR,SFO,80.0,322.0,2529.0
MIA,PBI,49.0,159.0,1.0
MIA,TPA,63.0,208.0,3969.0
MKE,ORD,49.0,130.0,9192.0
MKG,ORD,56.0,163.0,1235.0
MLI,ORD,56.0,252.0,3049.0
MMH,SFO,66.0,240.0,262.0
MRY,SFO,42.0,191.0,1503.0
MSN,ORD,54.0,193.0,6013.0
MSO,SLC,89.0,256.0,1995.0
MSP,RST,47.0,176.0,794.0
MSP,OMA,72.0,219.0,2543.0
MSP,RHI,63.0,298.0,1321.0
MSY,SAT,85.0,226.0,475.0
MYR,PBG,129.0,424.0,101.0
OAK,ONT,70.0,177.0,4246.0
OKC,STL,81.0,216.0,829.0
OME,OTZ,45.0,159.0,310.0
ONT,PHX,69.0,209.0,5921.0
ORD,TOL,64.0,169.0,1798.0
ORD,PIA,55.0,170.0,4142.0
ORD,SBN,49.0,177.0,2186.0
ORD,SPI,60.0,223.0,1910.0
ORD,SUX,97.0,300.0,1180.0
ORD,STC,93.0,331.0,154.0
ORD,SGF,97.0,335.0,3868.0
ORD,PAH,85.0,366.0,1246.0
OTH,SFO,91.0,414.0,477.0
PDX,SEA,52.0,180.0,3667.0
PHF,RDU,50.0,155.0,1.0
PHL,PVD,71.0,183.0,564.0
PHL,RIC,63.0,193.0,12.0
PHX,YUM,57.0,149.0,3710.0
PHX,TUS,51.0,173.0,2286.0
PHX,SAN,69.0,190.0,10130.0
PIH,SLC,51.0,238.0,1302.0
PSC,SEA,62.0,303.0,347.0
PSG,WRG,24.0,89.0,651.0
RDD,SFO,65.0,260.0,1412.0
RDM,SLC,97.0,331.0,1186.0
RKS,SLC,54.0,165.0,58.0
SBA,SFO,70.0,175.0,4065.0
SBP,SFO,62.0,156.0,2025.0
SEA,SIT,138.0,367.0,590.0
SFO,SMF,50.0,198.0,3079.0
SGU,SLC,67.0,300.0,2381.0
SJU,STT,34.0,139.0,1386.0
SJU,STX,38.0,117.0,665.0
SLC,SUN,57.0,161.0,1204.0
SLC,VEL,45.0,208.0,397.0
SLC,TWF,52.0,236.0,1611.0
SLC,WYS,67.0,238.0,415.0
SMF,SNA,80.0,202.0,4226.0
